# sent_id = 0
# text = 其实 津巴布韦像 很多 非洲 国家 一样 ， 还 保留 着 这样 的 一些 原始 的 部落 的 地方
# attrs = id	text	upos	govern	relate
0	其实	ADV	5	advmod
1	津巴布韦像	PROPN	4	nmod
2	很多	NUM	4	nummod
3	非洲	PROPN	4	nmod
4	国家	NOUN	5	nsubj
5	一样	ADJ	8	advcl
6	，	PUNCT	8	punct
7	还	ADV	8	mark
8	保留	VERB	-1	root
9	着	PART	8	aux:aspect
10	这样	PRON	17	det
11	的	PART	10	case:dec
12	一些	ADJ	17	amod
13	原始	ADJ	17	amod
14	的	PART	13	mark:relcl
15	部落	NOUN	13	obj
16	的	PART	13	mark:relcl
17	地方	NOUN	8	obj

# sent_id = 1
# text = 因为 我 在 微博 看到 关于 他 的 新闻 ， 然后 有 好多 好多 他 去 扮演 女人 的 照片 ， 简直 可以 以 假乱真 。
# attrs = id	text	upos	govern	relate
0	因为	ADP	4	case
1	我	PRON	4	nsubj
2	在	VERB	4	advcl
3	微博	NOUN	2	obj
4	看到	VERB	-1	root
5	关于	ADP	8	det
6	他	PRON	8	det
7	的	PART	6	case:dec
8	新闻	NOUN	4	obj
9	，	PUNCT	4	punct
10	然后	ADV	11	advmod
11	有	VERB	23	advcl
12	好多	ADJ	13	advcl
13	好多	ADJ	11	ccomp
14	他	PRON	16	nsubj
15	去	ADV	16	mark
16	扮演	VERB	23	advcl
17	女人	NOUN	19	nmod
18	的	PART	17	case:dec
19	照片	NOUN	16	obj
20	，	PUNCT	23	punct
21	简直	ADV	23	advmod
22	可以	AUX	23	aux
23	以	VERB	4	parataxis
24	假乱真	VERB	23	xcomp
25	。	PUNCT	4	punct

# sent_id = 2
# text = 我们 在 意大利 如果 你 去 剧场 ， 就 是 去 看 歌剧 或者 话剧 ， 千万 不 可以 穿 紫色 的 服装 。
# attrs = id	text	upos	govern	relate
0	我们	PRON	19	nsubj
1	在	VERB	19	advcl
2	意大利	PROPN	1	obj
3	如果	ADP	5	case
4	你	PRON	5	nsubj
5	去	VERB	9	ccomp
6	剧场	NOUN	5	obj
7	，	PUNCT	19	punct
8	就	ADV	9	mark
9	是	VERB	19	advcl
10	去	ADV	11	mark
11	看	VERB	9	xcomp
12	歌剧	NOUN	11	obj
13	或者	CCONJ	14	cc
14	话剧	NOUN	12	conj
15	，	PUNCT	19	punct
16	千万	ADV	19	advmod
17	不	ADV	19	advmod
18	可以	AUX	19	aux
19	穿	VERB	-1	root
20	紫色	NOUN	22	nmod
